d:\hsom\src\data\shanx004.krn 06.0,06.0,06.0,06.0,06.0,06.0,06.0,06.0,06.0,06.0,06.0,06.0,07.0,07.0,07.0,07.8,07.0,07.0,07.0,06.0,07.0,05.0,07.8,05.8,07.0,07.0,07.0,07.0,07.0,07.0,07.0,07.0,06.0,06.0,06.0,06.0,06.0,06.0,06.0,06.0,06.0,06.0,06.0,06.0,07.0,07.0,07.0,07.8,07.0,07.0,07.0,06.0,07.0,05.0,07.8,08.8,05.8,05.8,05.8,05.8,05.8,05.8,05.8,05.8
d:\hsom\src\data\shanx006.krn 09.2,09.2,09.2,09.2,09.2,09.2,05.2,05.2,05.2,05.2,05.2,05.2,10.0,10.0,08.0,08.0,06.0,06.0,08.0,08.0,09.2,09.2,06.0,06.0,09.0,09.0,09.0,09.0,09.0,09.0,09.0,09.0,07.2,07.2,07.2,07.2,07.2,07.2,05.2,05.2,05.2,05.2,05.2,05.2,10.0,10.0,08.0,08.0,06.0,06.0,08.0,08.0,09.2,09.2,06.0,06.0,08.0,08.0,08.0,08.0,08.0,08.0,08.0,08.0
d:\hsom\src\data\shanx007.krn 08.0,08.0,06.0,06.0,05.0,05.0,05.0,05.0,06.0,06.0,06.0,08.0,06.0,06.0,08.0,08.0,09.2,09.2,07.2,05.2,07.0,07.0,09.0,09.0,06.0,06.0,06.0,06.0,06.0,06.0,06.0,06.0,08.0,08.0,06.0,06.0,05.0,05.0,05.0,05.0,06.0,06.0,06.0,08.0,06.0,06.0,08.0,08.0,09.2,09.2,07.2,05.2,07.0,07.0,09.0,09.0,05.0,05.0,05.0,05.0,05.0,05.0,05.0,05.0
d:\hsom\src\data\shanx008.krn 07.2,07.2,07.2,07.2,07.2,07.2,06.2,06.2,07.2,07.2,05.2,05.2,08.0,08.0,06.0,06.0,06.0,06.0,06.0,07.0,06.0,06.0,07.2,07.2,07.0,07.0,07.0,07.0,07.0,07.0,07.0,07.0,07.2,07.2,07.2,07.2,07.2,07.2,06.2,06.2,07.2,07.2,05.2,05.2,08.0,08.0,06.0,06.0,06.0,06.0,06.0,07.0,06.0,06.0,08.0,08.0,06.0,06.0,06.0,06.0,06.0,06.0,06.0,06.0
d:\hsom\src\data\shanx009.krn 07.2,07.2,06.2,06.2,07.2,07.2,07.2,07.2,07.2,07.2,05.2,05.2,08.0,08.0,07.0,07.0,07.0,07.0,07.2,07.2,07.2,07.2,09.2,05.2,08.0,08.0,08.0,08.0,08.0,08.0,08.0,08.0,07.2,07.2,06.2,06.2,07.2,07.2,07.2,07.2,08.0,08.0,06.0,06.0,06.0,06.0,07.0,07.0,07.0,07.0,05.2,05.2,08.0,08.0,06.0,06.0,07.0,07.0,07.0,07.0,07.0,07.0,07.0,07.0
d:\hsom\src\data\shanx010.krn 07.2,07.2,07.2,07.2,07.2,07.2,07.2,07.2,08.0,08.0,08.0,05.2,06.0,06.0,06.0,06.0,07.2,07.2,06.2,06.2,06.0,06.0,06.0,09.0,07.0,07.0,07.0,07.0,07.0,07.0,07.0,07.0,07.2,07.2,07.2,07.2,07.2,07.2,07.2,07.2,08.0,08.0,05.2,05.2,07.2,07.2,07.2,07.2,07.2,07.2,06.2,06.2,05.2,05.2,07.2,07.2,08.0,08.0,06.0,06.0,06.0,06.0,06.0,06.0
d:\hsom\src\data\shanx011.krn 07.0,07.0,07.0,07.0,07.0,07.0,07.0,07.0,07.0,07.0,07.0,09.2,07.2,07.2,07.2,07.2,05.2,05.2,07.2,07.2,05.2,05.2,07.2,07.2,07.0,07.0,07.0,07.0,07.0,07.0,07.0,07.0,07.0,07.0,07.0,07.0,05.0,05.0,07.8,07.8,07.8,07.8,05.8,05.8,05.8,05.8,06.0,06.0,07.8,07.8,07.8,07.8,05.0,05.0,05.0,05.0,05.8,05.8,05.8,05.8,05.8,05.8,05.8,05.8
d:\hsom\src\data\shanx013.krn 05.8,05.8,05.8,05.8,05.8,05.8,05.8,05.8,05.8,05.8,05.2,05.2,06.0,06.0,06.0,06.0,06.0,06.0,06.0,05.2,09.0,09.0,05.0,05.0,07.0,07.0,07.0,07.0,07.0,07.0,07.0,07.0,06.0,06.0,06.0,05.2,06.0,06.0,06.0,06.0,06.0,06.0,05.2,05.2,06.0,06.0,04.0,04.0,07.0,07.0,05.0,05.0,06.8,06.8,03.8,03.8,05.8,05.8,05.8,05.8,05.8,05.8,05.8,05.8
d:\hsom\src\data\shanx014.krn 09.2,09.2,07.2,07.2,07.2,07.2,09.2,07.2,05.2,08.0,06.0,09.0,07.0,07.0,07.0,07.0,07.2,07.2,07.2,07.2,08.0,08.0,06.2,05.2,07.2,07.2,07.2,07.2,07.2,07.2,07.2,07.2,09.2,09.2,07.2,07.2,07.2,07.2,09.2,07.2,05.2,08.0,06.0,09.0,07.0,07.0,07.0,07.0,07.2,07.2,07.2,07.2,08.0,08.0,06.2,05.2,06.0,06.0,06.0,06.0,06.0,06.0,06.0,06.0
d:\hsom\src\data\shanx015.krn 07.2,07.2,09.2,09.2,09.2,09.2,09.2,08.2,07.2,07.2,07.2,07.2,05.2,05.2,05.2,08.0,08.0,08.0,06.0,09.0,09.0,09.0,06.0,05.2,09.0,09.0,09.0,09.0,09.0,09.0,09.0,09.0,07.2,07.2,09.2,09.2,09.2,09.2,09.2,08.2,07.2,07.2,07.2,07.2,05.2,05.2,05.2,08.0,08.0,08.0,06.0,09.0,09.0,09.0,06.0,05.2,08.0,08.0,08.0,08.0,08.0,08.0,08.0,08.0
